user_id,age,salary,country_original,education,device,feedback_text,purchase_amount,country_cleaned,device_grouped,education_binary,education_simplified
1021,46,127132,Britain,Неоконченное высшее,Smart TV,Alles perfekt!,15952,Великобритания,OtherDevice,0,Higher_or_Incomplete
1022,75,23842,россия,Высшее,Desktop,Так себе,3577,Россия,Desktop,1,Higher_or_Incomplete
1023,53,103788,Германия,Среднее специальное,Desktop,Все пришло в целости,2876,Германия,Desktop,0,Secondary_or_Special
1024,50,109615,China,Неоконченное высшее,Mobile,Обманщики,16622,Китай,MobileDevice,0,Higher_or_Incomplete
1025,54,72271,Россия,Высшее,Desktop,Could be better,3048,Россия,Desktop,1,Higher_or_Incomplete
1026,34,70938,Великобритания,Среднее,Tablet,Супер быстро,3007,Великобритания,MobileDevice,0,Secondary_or_Special
1027,22,60234,Германия,Среднее специальное,Tablet,Could be better,7874,Германия,MobileDevice,0,Secondary_or_Special
1028,57,0,китай,Среднее специальное,Mobile,"Good service, but shipping took too long",2431,Китай,MobileDevice,0,Secondary_or_Special
1029,35,63465,Великобритания,Высшее,Desktop,Верните деньги,1678,Великобритания,Desktop,1,Higher_or_Incomplete
1030,23,52759,РФ,Высшее,Mobile,Все пришло в целости,5240,Россия,MobileDevice,1,Higher_or_Incomplete
1031,18,0,United Kingdom,Среднее,Desktop,Почему не применилась скидка?,1119,Великобритания,Desktop,0,Secondary_or_Special
1032,75,72174,РОССИЯ,Высшее,Mobile,"Доставка быстрая, упаковка целая",4675,Россия,MobileDevice,1,Higher_or_Incomplete
1033,33,55649,US,Высшее,Desktop,"Доставка быстрая, упаковка целая",2694,США,Desktop,1,Higher_or_Incomplete
1034,35,55433,россия,Неоконченное высшее,Tablet,Лучший магазин в котором покупал,8546,Россия,MobileDevice,0,Higher_or_Incomplete
1035,68,77103,Российская Фередация,Высшее,Mobile,"Неплохо, но есть нюансы",11465,Россия,MobileDevice,1,Higher_or_Incomplete
1036,39,46808,Германия,Среднее,Smartwatch,Очень доволен покупкой,4143,Германия,OtherDevice,0,Secondary_or_Special
1037,45,122033,Китай,Высшее,Desktop,Сломалось через день,10437,Китай,Desktop,1,Higher_or_Incomplete
1038,41,0,Великобритания,Среднее,Desktop,Bad quality,4229,Великобритания,Desktop,0,Secondary_or_Special
1039,43,93752,US,Среднее,Mobile,Очень доволен покупкой,474,США,MobileDevice,0,Secondary_or_Special
1040,37,63803,КНР,Среднее,Mobile,Товар не соответствует описанию,3678,Китай,MobileDevice,0,Secondary_or_Special
1041,60,25557,Britain,Высшее,Desktop,Bad quality,390,Великобритания,Desktop,1,Higher_or_Incomplete
1042,20,41046,China,Среднее,Tablet,Все пришло в целости,1317,Китай,MobileDevice,0,Secondary_or_Special
1043,27,25363,россия,Высшее,Desktop,Верните деньги,0,Россия,Desktop,1,Higher_or_Incomplete
1044,33,52953,франция,Среднее,Desktop,Средне,4568,Франция,Desktop,0,Secondary_or_Special
1045,71,79431,America,Неоконченное высшее,Mobile,Bad quality,13945,США,MobileDevice,0,Higher_or_Incomplete
1046,33,62996,Великобритания,Высшее,Mobile,"Всё отлично, спасибо",1539,Великобритания,MobileDevice,1,Higher_or_Incomplete
1047,63,0,Франция,Среднее,Mobile,Так себе,852,Франция,MobileDevice,0,Secondary_or_Special
1048,72,77714,Франция,Высшее,Mobile,Not bad,9889,Франция,MobileDevice,1,Higher_or_Incomplete
1049,75,34453,ФРГ,Среднее,Mobile,Сломалось через день,1595,Германия,MobileDevice,0,Secondary_or_Special
1050,26,0,франция,Среднее,Mobile,Good,1028,Франция,MobileDevice,0,Secondary_or_Special
1051,42,97906,Deutschland,Неоконченное высшее,Mobile,More or less ok,0,Германия,MobileDevice,0,Higher_or_Incomplete
1052,19,24544,China,Среднее специальное,Mobile,Excellent service,119,Китай,MobileDevice,0,Secondary_or_Special
1053,33,58065,Китай,Высшее,Mobile,Товар не соответствует описанию,4062,Китай,MobileDevice,1,Higher_or_Incomplete
1054,28,64707,UK,Неоконченное высшее,Mobile,Очень доволен покупкой,0,Великобритания,MobileDevice,0,Higher_or_Incomplete
1055,37,82735,Франция,Среднее специальное,Mobile,Обманщики,2024,Франция,MobileDevice,0,Secondary_or_Special
1056,72,64843,РФ,Высшее,Mobile,"Great product, recommended",4575,Россия,MobileDevice,1,Higher_or_Incomplete
1057,70,52125,ФРГ,Среднее,Mobile,Disappointed,3470,Германия,MobileDevice,0,Secondary_or_Special
1058,67,51686,Britain,Высшее,Tablet,Обычный магазин,6796,Великобритания,MobileDevice,1,Higher_or_Incomplete
1059,60,44837,Франция,Высшее,Mobile,Could be better,2767,Франция,MobileDevice,1,Higher_or_Incomplete
1060,53,41330,USA,Высшее,Mobile,Все пришло в целости,2678,США,MobileDevice,1,Higher_or_Incomplete
1061,68,21130,US,Среднее,Mobile,Обычный магазин,1163,США,MobileDevice,0,Secondary_or_Special
1062,39,68056,Deutschland,Высшее,Mobile,"Good service, but shipping took too long",5478,Германия,MobileDevice,1,Higher_or_Incomplete
1063,30,59180,германия,Среднее специальное,Desktop,Лучший магазин в котором покупал,2599,Германия,Desktop,0,Secondary_or_Special
1064,37,45927,Соединенные Штаты,Высшее,Mobile,Почему не применилась скидка?,1366,США,MobileDevice,1,Higher_or_Incomplete
1065,73,20803,Франция,Высшее,Mobile,More or less ok,2609,Франция,MobileDevice,1,Higher_or_Incomplete
1066,49,64710,UK,Высшее,Desktop,"Sehr gut, empfehlenswert",0,Великобритания,Desktop,1,Higher_or_Incomplete
1067,66,47274,Китай,Неоконченное высшее,Mobile,More or less ok,4397,Китай,MobileDevice,0,Higher_or_Incomplete
1068,57,47894,UK,Среднее специальное,Mobile,"Быстро, но упаковка повреждена",0,Великобритания,MobileDevice,0,Secondary_or_Special
1069,33,56391,USA,Высшее,Desktop,"Нормально, но интерфейс мог бы быть лучше",6473,США,Desktop,1,Higher_or_Incomplete
1070,73,0,Соединенные Штаты,Неоконченное высшее,Desktop,Alles perfekt!,0,США,Desktop,0,Higher_or_Incomplete
1071,32,87443,Германия,Высшее,Mobile,Не пришел заказ,9301,Германия,MobileDevice,1,Higher_or_Incomplete
1072,25,55716,Англия,Среднее специальное,Desktop,"Good service, but shipping took too long",7452,Великобритания,Desktop,0,Secondary_or_Special
1073,38,84564,Российская Фередация,Среднее специальное,Desktop,Не могу войти в аккаунт,3346,Россия,Desktop,0,Secondary_or_Special
1074,54,45273,US,Среднее,Mobile,Очень доволен покупкой,1305,США,MobileDevice,0,Secondary_or_Special
1075,48,100607,Germany,Неоконченное высшее,Mobile,Could be better,6736,Германия,MobileDevice,0,Higher_or_Incomplete
1076,53,44809,Deutschland,Высшее,Smart TV,Обманщики,4865,Германия,OtherDevice,1,Higher_or_Incomplete
1077,47,0,китай,Среднее,Mobile,"Sehr gut, empfehlenswert",1940,Китай,MobileDevice,0,Secondary_or_Special
1078,46,118532,Britain,Неоконченное высшее,Desktop,Не могу войти в аккаунт,3215,Великобритания,Desktop,0,Higher_or_Incomplete
1079,47,70396,US,Среднее специальное,Mobile,Так себе,3710,США,MobileDevice,0,Secondary_or_Special
1080,47,127255,U.S.A.,Среднее,Tablet,"Доставка быстрая, упаковка целая",21624,США,MobileDevice,0,Secondary_or_Special
1081,35,45168,германия,Среднее,Desktop,Not bad,7813,Германия,Desktop,0,Secondary_or_Special
1082,52,89441,Германия,Среднее специальное,Mobile,Лучший магазин в котором покупал,8199,Германия,MobileDevice,0,Secondary_or_Special
1083,48,104968,United Kingdom,Среднее,Mobile,Никому не советую,6089,Великобритания,MobileDevice,0,Secondary_or_Special
1084,24,59468,Росия,Высшее,Desktop,Супер быстро,8047,Россия,Desktop,1,Higher_or_Incomplete
1085,59,50527,Britain,Высшее,Mobile,More or less ok,1477,Великобритания,MobileDevice,1,Higher_or_Incomplete
1086,58,77667,UK,Высшее,Mobile,Обманщики,0,Великобритания,MobileDevice,1,Higher_or_Incomplete
1087,28,44625,РОССИЯ,Неоконченное высшее,Mobile,Good,5109,Россия,MobileDevice,0,Higher_or_Incomplete
1088,68,31800,россия,Среднее,Mobile,"Sehr gut, empfehlenswert",1028,Россия,MobileDevice,0,Secondary_or_Special
1089,60,20615,Франция,Среднее,Mobile,Средне,3570,Франция,MobileDevice,0,Secondary_or_Special
1090,34,74939,US,Неоконченное высшее,Mobile,Никому не советую,6678,США,MobileDevice,0,Higher_or_Incomplete
1091,19,21568,Франция,Высшее,Tablet,"Very good, will buy again",760,Франция,MobileDevice,1,Higher_or_Incomplete
1092,67,72354,Германия,Среднее,Desktop,Сломалось через день,1664,Германия,Desktop,0,Secondary_or_Special
1093,75,61121,ФРГ,Высшее,Mobile,"Very good, will buy again",4791,Германия,MobileDevice,1,Higher_or_Incomplete
1094,30,53661,германия,Среднее,Mobile,More or less ok,4381,Германия,MobileDevice,0,Secondary_or_Special
1095,65,77042,рф,Среднее специальное,Mobile,Не пришел заказ,11868,Россия,MobileDevice,0,Secondary_or_Special
1096,41,66836,Российская Федерация,Среднее,Mobile,Disappointed,3312,Россия,MobileDevice,0,Secondary_or_Special
1097,24,40323,КНР,Высшее,Desktop,Прекрасное качество,2172,Китай,Desktop,1,Higher_or_Incomplete
1098,59,93516,РФ,Высшее,Mobile,"Very good, will buy again",8375,Россия,MobileDevice,1,Higher_or_Incomplete
1099,60,68702,PRC,Среднее,Desktop,Nicht angekommen,5108,Китай,Desktop,0,Secondary_or_Special
1100,20,49283,France,Неоконченное высшее,Mobile,Not bad,614,Франция,MobileDevice,0,Higher_or_Incomplete
1101,43,91160,рф,Высшее,Mobile,Не могу войти в аккаунт,0,Россия,MobileDevice,1,Higher_or_Incomplete
1102,39,60962,Китай,Высшее,Desktop,Товар не соответствует описанию,3378,Китай,Desktop,1,Higher_or_Incomplete
1103,68,79017,Германия,Среднее специальное,Desktop,Прекрасное качество,7097,Германия,Desktop,0,Secondary_or_Special
1104,68,71670,Germany,Высшее,Mobile,Not bad,0,Германия,MobileDevice,1,Higher_or_Incomplete
1105,22,56211,германия,Среднее,Mobile,Не могу войти в аккаунт,8666,Германия,MobileDevice,0,Secondary_or_Special
1106,51,79535,РФ,Среднее специальное,Desktop,Nicht angekommen,2290,Россия,Desktop,0,Secondary_or_Special
1107,75,25294,USA,Высшее,Desktop,Не пришел заказ,1933,США,Desktop,1,Higher_or_Incomplete
1108,36,74734,France,Неоконченное высшее,Mobile,Сломалось через день,5710,Франция,MobileDevice,0,Higher_or_Incomplete
1109,46,84949,Франция,Высшее,Mobile,"Быстро, но упаковка повреждена",14184,Франция,MobileDevice,1,Higher_or_Incomplete
1110,48,63799,Россия,Высшее,Desktop,"Great product, recommended",0,Россия,Desktop,1,Higher_or_Incomplete
1111,53,83207,Франция,Неоконченное высшее,Tablet,Не могу войти в аккаунт,6330,Франция,MobileDevice,0,Higher_or_Incomplete
1112,24,62874,America,Среднее,Desktop,Никому не советую,0,США,Desktop,0,Secondary_or_Special
1113,35,82624,франция,Среднее специальное,Desktop,Disappointed,7013,Франция,Desktop,0,Secondary_or_Special
1114,71,65447,Соединенные Штаты,Среднее,Mobile,"Нормально, но интерфейс мог бы быть лучше",4952,США,MobileDevice,0,Secondary_or_Special
1115,22,34297,Россия,Среднее,Mobile,"Неплохо, но есть нюансы",2360,Россия,MobileDevice,0,Secondary_or_Special
1116,67,57197,Росия,Высшее,Desktop,"Perfect, arrived on time",2838,Россия,Desktop,1,Higher_or_Incomplete
1117,46,109287,China,Высшее,Mobile,Schlechte Qualität,1163,Китай,MobileDevice,1,Higher_or_Incomplete
1118,32,70903,РФ,Высшее,Tablet,Could be better,7794,Россия,MobileDevice,1,Higher_or_Incomplete
1119,29,33466,United Kingdom,Среднее,Desktop,Alles perfekt!,304,Великобритания,Desktop,0,Secondary_or_Special
1120,47,65205,PRC,Среднее,Desktop,"Good service, but shipping took too long",4090,Китай,Desktop,0,Secondary_or_Special
1121,69,60509,Великобритания,Высшее,Desktop,Средне,5911,Великобритания,Desktop,1,Higher_or_Incomplete
1122,65,42250,USA,Среднее,Mobile,"Very good, will buy again",2714,США,MobileDevice,0,Secondary_or_Special
1123,70,29679,Соединенные Штаты,Высшее,Desktop,"Всё отлично, спасибо",2514,США,Desktop,1,Higher_or_Incomplete
1124,66,56944,франция,Среднее специальное,Desktop,Никому не советую,1107,Франция,Desktop,0,Secondary_or_Special
1125,46,63950,Великобритания,Неоконченное высшее,Desktop,Nicht angekommen,1368,Великобритания,Desktop,0,Higher_or_Incomplete
1126,41,0,россия,Среднее,Desktop,Супер быстро,1196,Россия,Desktop,0,Secondary_or_Special
1127,38,84649,USA,Среднее,Desktop,Nicht angekommen,3450,США,Desktop,0,Secondary_or_Special
1128,63,48688,КНР,Среднее,Mobile,Так себе,920,Китай,MobileDevice,0,Secondary_or_Special
1129,68,61345,РОССИЯ,Высшее,Desktop,"Дороговато, но качество отличное",3625,Россия,Desktop,1,Higher_or_Incomplete
1130,39,50341,Соединенные Штаты,Высшее,Desktop,Good,2336,США,Desktop,1,Higher_or_Incomplete
1131,53,89372,Германия,Среднее,Desktop,Не работает,0,Германия,Desktop,0,Secondary_or_Special
1132,60,47748,РОССИЯ,Высшее,Smart TV,Нормальный магазин,756,Россия,OtherDevice,1,Higher_or_Incomplete
1133,36,51628,КНР,Высшее,Mobile,Очень доволен покупкой,2792,Китай,MobileDevice,1,Higher_or_Incomplete
1134,62,70534,America,Высшее,Mobile,Товар не соответствует описанию,4878,США,MobileDevice,1,Higher_or_Incomplete
1135,32,79996,France,Высшее,Tablet,"Доставка быстрая, упаковка целая",7826,Франция,MobileDevice,1,Higher_or_Incomplete
1136,44,76241,Китай,Неоконченное высшее,Mobile,Not bad,9461,Китай,MobileDevice,0,Higher_or_Incomplete
1137,72,28170,Соединенные Штаты,Высшее,Desktop,"Very good, will buy again",1490,США,Desktop,1,Higher_or_Incomplete
1138,19,13595,россия,Среднее,Mobile,Нормальный магазин,0,Россия,MobileDevice,0,Secondary_or_Special
1139,24,46973,USA,Высшее,Desktop,Excellent service,268,США,Desktop,1,Higher_or_Incomplete
1140,75,0,США,Среднее,Desktop,"Good service, but shipping took too long",627,США,Desktop,0,Secondary_or_Special
1141,21,40626,PRC,Высшее,Desktop,Не работает,0,Китай,Desktop,1,Higher_or_Incomplete
1142,50,71711,ФРГ,Высшее,Mobile,Good,2271,Германия,MobileDevice,1,Higher_or_Incomplete
1143,22,59475,КНР,Высшее,Tablet,Ужасное обслуживание,969,Китай,MobileDevice,1,Higher_or_Incomplete
1144,40,63855,UK,Неоконченное высшее,Desktop,"Отличный сервис, быстро доставили",2815,Великобритания,Desktop,0,Higher_or_Incomplete
1145,71,71061,Англия,Среднее,Desktop,Сломалось через день,4086,Великобритания,Desktop,0,Secondary_or_Special
1146,20,38072,Deutschland,Среднее,Smartwatch,Could be better,0,Германия,OtherDevice,0,Secondary_or_Special
1147,59,65048,РОССИЯ,Высшее,Desktop,"Дороговато, но качество отличное",7282,Россия,Desktop,1,Higher_or_Incomplete
1148,29,57519,германия,Высшее,Mobile,Alles perfekt!,5514,Германия,MobileDevice,1,Higher_or_Incomplete
1149,36,66050,Deutschland,Высшее,Desktop,Все пришло в целости,5588,Германия,Desktop,1,Higher_or_Incomplete
1150,57,97008,Россия,Среднее,Mobile,Disappointed,3447,Россия,MobileDevice,0,Secondary_or_Special
1151,61,71204,USA,Высшее,Desktop,Средне,0,США,Desktop,1,Higher_or_Incomplete
1152,27,54486,ФРГ,Неоконченное высшее,Desktop,Так себе,647,Германия,Desktop,0,Higher_or_Incomplete
1153,19,24106,US,Среднее,Tablet,"Доставка быстрая, упаковка целая",3359,США,MobileDevice,0,Secondary_or_Special
1154,36,90480,France,Высшее,Tablet,"Very good, will buy again",14471,Франция,MobileDevice,1,Higher_or_Incomplete
1155,72,40944,UK,Среднее,Mobile,Все пришло в целости,1871,Великобритания,MobileDevice,0,Secondary_or_Special
1156,68,43690,Российская Фередация,Неоконченное высшее,Mobile,Хороший ассортимент,4069,Россия,MobileDevice,0,Higher_or_Incomplete
1157,26,0,франция,Среднее,Desktop,Nicht angekommen,0,Франция,Desktop,0,Secondary_or_Special
1158,38,0,франция,Среднее,Mobile,Schlechte Qualität,3166,Франция,MobileDevice,0,Secondary_or_Special
1159,50,47263,Китай,Высшее,Mobile,Хороший ассортимент,1565,Китай,MobileDevice,1,Higher_or_Incomplete
1160,72,25168,Britain,Высшее,Desktop,Nicht angekommen,1010,Великобритания,Desktop,1,Higher_or_Incomplete
1161,27,36219,Britain,Высшее,Tablet,Класс! Обязательно закажу еще,0,Великобритания,MobileDevice,1,Higher_or_Incomplete
1162,59,74688,PRC,Среднее,Mobile,Bad quality,2146,Китай,MobileDevice,0,Secondary_or_Special
1163,69,72910,ФРГ,Высшее,Mobile,Обычный магазин,2478,Германия,MobileDevice,1,Higher_or_Incomplete
1164,38,92078,ФРГ,Высшее,Mobile,Хороший ассортимент,2993,Германия,MobileDevice,1,Higher_or_Incomplete
1165,33,54232,ФРГ,Неоконченное высшее,Mobile,Средне,2022,Германия,MobileDevice,0,Higher_or_Incomplete
1166,49,122466,ФРГ,Высшее,Tablet,Нормальный магазин,1372,Германия,MobileDevice,1,Higher_or_Incomplete
1167,36,77433,Англия,Высшее,Mobile,Good,10064,Великобритания,MobileDevice,1,Higher_or_Incomplete
1168,41,60930,КНР,Высшее,Desktop,Not bad,3257,Китай,Desktop,1,Higher_or_Incomplete
1169,26,31336,германия,Среднее специальное,Desktop,Не работает,643,Германия,Desktop,0,Secondary_or_Special
1170,26,46826,PRC,Высшее,Tablet,Средне,6602,Китай,MobileDevice,1,Higher_or_Incomplete
1171,65,75220,германия,Неоконченное высшее,Desktop,Bad quality,1905,Германия,Desktop,0,Higher_or_Incomplete
1172,61,27183,китай,Неоконченное высшее,Desktop,Не могу войти в аккаунт,1279,Китай,Desktop,0,Higher_or_Incomplete
1173,68,70866,America,Высшее,Mobile,Не пришел заказ,2254,США,MobileDevice,1,Higher_or_Incomplete
1174,70,64612,China,Высшее,Mobile,Alles perfekt!,7084,Китай,MobileDevice,1,Higher_or_Incomplete
1175,73,75599,Росия,Среднее,Desktop,Not bad,6449,Россия,Desktop,0,Secondary_or_Special
1176,52,84869,Великобритания,Среднее,Mobile,Not bad,8418,Великобритания,MobileDevice,0,Secondary_or_Special
1177,67,38940,Англия,Высшее,Mobile,Could be better,0,Великобритания,MobileDevice,1,Higher_or_Incomplete
1178,61,55598,Франция,Среднее специальное,Desktop,"Perfect, arrived on time",5259,Франция,Desktop,0,Secondary_or_Special
1179,46,88612,США,Неоконченное высшее,Mobile,Bad quality,0,США,MobileDevice,0,Higher_or_Incomplete
1180,57,71363,Britain,Высшее,Mobile,"Неплохо, но есть нюансы",3114,Великобритания,MobileDevice,1,Higher_or_Incomplete
1181,18,18033,US,Среднее,Tablet,"Быстро, но упаковка повреждена",1761,США,MobileDevice,0,Secondary_or_Special
1182,36,0,Российская Фередация,Среднее,Desktop,Alles perfekt!,867,Россия,Desktop,0,Secondary_or_Special
1183,71,46017,America,Среднее специальное,Tablet,"Perfect, arrived on time",3375,США,MobileDevice,0,Secondary_or_Special
1184,36,74776,КНР,Среднее,Tablet,Could be better,1214,Китай,MobileDevice,0,Secondary_or_Special
1185,64,50075,United Kingdom,Высшее,Mobile,Disappointed,4042,Великобритания,MobileDevice,1,Higher_or_Incomplete
1186,75,46574,китай,Высшее,Desktop,Супер быстро,2923,Китай,Desktop,1,Higher_or_Incomplete
1187,42,85870,Deutschland,Высшее,Desktop,"Быстро, но упаковка повреждена",13193,Германия,Desktop,1,Higher_or_Incomplete
1188,25,55500,франция,Среднее,Tablet,"Дороговато, но качество отличное",0,Франция,MobileDevice,0,Secondary_or_Special
1189,36,69087,США,Среднее,Mobile,Так себе,7182,США,MobileDevice,0,Secondary_or_Special
1190,69,63522,America,Неоконченное высшее,Tablet,Верните деньги,2920,США,MobileDevice,0,Higher_or_Incomplete
1191,21,60890,U.S.A.,Среднее,Mobile,"Good service, but shipping took too long",5673,США,MobileDevice,0,Secondary_or_Special
1192,23,58447,рф,Высшее,Mobile,"Great product, recommended",4578,Россия,MobileDevice,1,Higher_or_Incomplete
1193,19,12974,Germany,Среднее,Desktop,"Неплохо, но есть нюансы",320,Германия,Desktop,0,Secondary_or_Special
1194,75,24523,France,Высшее,Mobile,Не пришел заказ,2191,Франция,MobileDevice,1,Higher_or_Incomplete
1195,46,104479,Britain,Высшее,Tablet,"Great product, recommended",4990,Великобритания,MobileDevice,1,Higher_or_Incomplete
1196,71,20227,ФРГ,Среднее,Desktop,More or less ok,443,Германия,Desktop,0,Secondary_or_Special
1197,35,57352,UK,Высшее,Desktop,"Sehr gut, empfehlenswert",297,Великобритания,Desktop,1,Higher_or_Incomplete
1198,46,61380,россия,Высшее,Desktop,"Great product, recommended",6520,Россия,Desktop,1,Higher_or_Incomplete
1199,54,82030,America,Среднее,Mobile,"Great product, recommended",4160,США,MobileDevice,0,Secondary_or_Special
1200,58,95994,РОССИЯ,Среднее специальное,Desktop,"Дороговато, но качество отличное",2669,Россия,Desktop,0,Secondary_or_Special
1201,29,60253,Соединенные Штаты,Неоконченное высшее,Mobile,"Great product, recommended",2378,США,MobileDevice,0,Higher_or_Incomplete
1202,42,86831,Germany,Среднее специальное,Desktop,Не пришел заказ,7228,Германия,Desktop,0,Secondary_or_Special
1203,61,59647,Российская Фередация,Неоконченное высшее,Desktop,Товар не соответствует описанию,4445,Россия,Desktop,0,Higher_or_Incomplete
1204,37,46004,America,Высшее,Smartwatch,Все пришло в целости,1748,США,OtherDevice,1,Higher_or_Incomplete
1205,53,82154,Франция,Среднее,Mobile,Not bad,7488,Франция,MobileDevice,0,Secondary_or_Special
1206,66,75032,Соединенные Штаты,Высшее,Mobile,Почему не применилась скидка?,0,США,MobileDevice,1,Higher_or_Incomplete
1207,53,94732,Соединенные Штаты,Высшее,Desktop,Not bad,6930,США,Desktop,1,Higher_or_Incomplete
1208,66,73843,Англия,Среднее,Desktop,"Всё отлично, спасибо",8590,Великобритания,Desktop,0,Secondary_or_Special
1209,59,47698,РФ,Неоконченное высшее,Mobile,Класс! Обязательно закажу еще,1406,Россия,MobileDevice,0,Higher_or_Incomplete
1210,47,0,Britain,Среднее специальное,Desktop,"Great product, recommended",4864,Великобритания,Desktop,0,Secondary_or_Special
1211,64,38005,Germany,Среднее,Desktop,Класс! Обязательно закажу еще,2153,Германия,Desktop,0,Secondary_or_Special
1212,30,85617,Deutschland,Неоконченное высшее,Mobile,Средне,5875,Германия,MobileDevice,0,Higher_or_Incomplete
1213,61,74267,UK,Высшее,Mobile,"Нормально, но интерфейс мог бы быть лучше",1365,Великобритания,MobileDevice,1,Higher_or_Incomplete
1214,49,111873,германия,Среднее специальное,Smart TV,"Sehr gut, empfehlenswert",11494,Германия,OtherDevice,0,Secondary_or_Special
1215,54,102324,Российская Федерация,Неоконченное высшее,Desktop,"Very good, will buy again",4451,Россия,Desktop,0,Higher_or_Incomplete
1216,55,58899,Англия,Среднее специальное,Mobile,Очень доволен покупкой,2978,Великобритания,MobileDevice,0,Secondary_or_Special
1217,42,73343,UK,Среднее,Smart TV,Alles perfekt!,11052,Великобритания,OtherDevice,0,Secondary_or_Special
1218,67,60230,Франция,Высшее,Mobile,Нормальный магазин,8941,Франция,MobileDevice,1,Higher_or_Incomplete
1219,29,63395,Российская Федерация,Неоконченное высшее,Desktop,Good,4398,Россия,Desktop,0,Higher_or_Incomplete
1220,65,45534,Россия,Высшее,Mobile,"Good service, but shipping took too long",0,Россия,MobileDevice,1,Higher_or_Incomplete
1221,29,53244,КНР,Высшее,Mobile,Nicht angekommen,8144,Китай,MobileDevice,1,Higher_or_Incomplete
1222,42,56617,France,Среднее,Desktop,Не работает,2027,Франция,Desktop,0,Secondary_or_Special
1223,35,64734,USA,Высшее,Mobile,"Доставка быстрая, упаковка целая",0,США,MobileDevice,1,Higher_or_Incomplete
1224,34,61160,франция,Среднее,Mobile,"Нормально, но интерфейс мог бы быть лучше",7970,Франция,MobileDevice,0,Secondary_or_Special
1225,69,76505,ФРГ,Неоконченное высшее,Tablet,"Perfect, arrived on time",3137,Германия,MobileDevice,0,Higher_or_Incomplete
1226,48,96180,Франция,Высшее,Desktop,Сломалось через день,11837,Франция,Desktop,1,Higher_or_Incomplete
1227,68,45751,Китай,Среднее,Desktop,Не могу войти в аккаунт,3322,Китай,Desktop,0,Secondary_or_Special
1228,31,73734,UK,Неоконченное высшее,Desktop,Верните деньги,0,Великобритания,Desktop,0,Higher_or_Incomplete
1229,37,60861,America,Высшее,Mobile,Верните деньги,6868,США,MobileDevice,1,Higher_or_Incomplete
1230,52,44818,германия,Среднее,Tablet,Прекрасное качество,5921,Германия,MobileDevice,0,Secondary_or_Special
1231,20,61911,Англия,Среднее специальное,Mobile,"Отличный сервис, быстро доставили",0,Великобритания,MobileDevice,0,Secondary_or_Special
1232,32,78467,КНР,Среднее,Mobile,Обычный магазин,8562,Китай,MobileDevice,0,Secondary_or_Special
1233,27,47607,France,Высшее,Tablet,Лучший магазин в котором покупал,3245,Франция,MobileDevice,1,Higher_or_Incomplete
1234,39,74840,PRC,Высшее,Mobile,Верните деньги,1185,Китай,MobileDevice,1,Higher_or_Incomplete
1235,19,11241,UK,Среднее,Mobile,"Great product, recommended",478,Великобритания,MobileDevice,0,Secondary_or_Special
